name,phone,address,category,rating,reviews_count,website,latitude,longitude,maps_url
Ramo Barbershop Setiabudi,0878-7867-2150,"Jl. Karet Belakang Raya No.11 6, RT.6/RW.1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",Tempat Cukur Rambut,4.8,656,,-6.2163341,106.8231915,https://www.google.com/maps/place/Ramo+Barbershop+Setiabudi/data=!4m7!3m6!1s0x2e69f5b890e47a53:0x1524a64d60a717c3!8m2!3d-6.2163341!4d106.8231915!16s%2Fg%2F11fm965smw!19sChIJU3rkkLj1aS4RwxenYE2mJBU?authuser=0&hl=id&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
Gandaria Barbershop,0895-3686-33261,"Jl. Gandaria 1 No.18b, RT.1/RW.10, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Tempat Cukur Rambut,4.8,365,,-6.2472412,106.7897323,https://www.google.com/maps/place/Gandaria+Barbershop/data=!4m7!3m6!1s0x2e69f1708dc6954d:0x69dfea923d117b4!8m2!3d-6.2472412!4d106.7897323!16s%2Fg%2F11qndq8vh1!19sChIJTZXGjXDxaS4RtBfRI6n-nQY?authuser=0&hl=id&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
Big Boyz Barbershop Tebet,0877-7593-1666,"Jl. Tebet Raya No.17, RT.20/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Tempat Cukur Rambut,4.7,577,https://www.facebook.com/bigboyzbarbershop17/?notif_t=page_fan&notif_id=1465355693600434,-6.229986,106.851059,https://www.google.com/maps/place/Big+Boyz+Barbershop+Tebet/data=!4m7!3m6!1s0x2e69f390e5108bb3:0xc06c19c094fb2178!8m2!3d-6.229986!4d106.851059!16s%2Fg%2F11cn9yvdb3!19sChIJs4sQ5ZDzaS4ReCH7lMAZbMA?authuser=0&hl=id&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
Chief Barbershop - Erlangga,0856-9500-2800,"Jl. Erlangga IV No.1, RT.7/RW.3, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Tempat Cukur Rambut,4.8,1699,,-6.232948,106.807926,https://www.google.com/maps/place/Chief+Barbershop+-+Erlangga/data=!4m7!3m6!1s0x2e69f15bf1593615:0x706cf7b67031966e!8m2!3d-6.232948!4d106.807926!16s%2Fg%2F1q62k_xwt!19sChIJFTZZ8VvxaS4RbpYxcLb3bHA?authuser=0&hl=id&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
Le Premiere Barbershop,(021) 27083880,"Jl. KH. Ahmad Dahlan Kby. No.10, RT.1/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Tempat Cukur Rambut,4.6,254,https://instagram.com/lepremiere_jkt,-6.243452,106.7915916,https://www.google.com/maps/place/Le+Premiere+Barbershop/data=!4m7!3m6!1s0x2e69f11481eef495:0xc550497acc46897!8m2!3d-6.243452!4d106.7915916!16s%2Fg%2F11b66fz566!19sChIJlfTugRTxaS4Rl2jErJcEVQw?authuser=0&hl=id&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
